Date,PM2.5,PM10,NO,NH3,CO,SO2,AQI_Bucket,AQI
01-01-2015,,,3.26,20.36,0.33,3.54,,
02-01-2015,,,6.05,23.74,1.35,3.97,,
03-01-2015,,,11.91,4.32,17.4,13.61,,
04-01-2015,,,7.45,0.87,5.05,6.52,,
05-01-2015,,,9.52,31.38,1.83,4.71,,
06-01-2015,,,6.6,26.35,0.52,4.42,,
07-01-2015,,,22.6,22.73,1.46,5.13,,
08-01-2015,,,7.5,38.67,2.3,7.07,,
09-01-2015,,,6.75,23.48,0.54,12.84,,
10-01-2015,,,3.38,34.17,1.69,3.08,,
11-01-2015,,,3.97,29.74,2.59,8.2,,
12-01-2015,,,10.85,41.39,0.61,7.16,,
13-01-2015,,,10.65,35.34,0.63,6.51,,
14-01-2015,,,9.09,39.82,1.83,8.66,,
15-01-2015,,,6.79,21.43,3.29,6.24,,
16-01-2015,,,10.74,10.27,16.41,19.28,,
17-01-2015,,,8.17,11.05,15.98,24.91,,
18-01-2015,,,6.16,14.23,9.04,22.18,,
19-01-2015,,,7.83,13.47,8.09,27.99,,
20-01-2015,,,10.44,7.29,4.05,92.66,,
21-01-2015,,,7.02,5.07,18.3,82.07,,
22-01-2015,,,17.15,3.65,3.32,57.51,,
23-01-2015,,,3.8,10.06,5.04,27.33,,
24-01-2015,,,4.77,14.88,2.42,6.47,,
25-01-2015,,,3.19,15.42,3.39,3.32,,
26-01-2015,,,2.27,16.63,5.39,2.95,,
27-01-2015,,,10.92,18.57,1.71,3.09,,
28-01-2015,,,6.31,16.15,4.87,6.53,,
29-01-2015,,,86.9,16.4,2.26,3.03,,
30-01-2015,,,62.22,13.32,1.06,24.31,,
31-01-2015,,,36.24,7.77,0.46,29.18,,
01-02-2015,,,2.99,7.48,0.36,7.36,,
02-02-2015,,,5.83,11.33,0.46,6.14,,
03-02-2015,,,4.56,11.78,0.59,5.02,,
04-02-2015,,,5.92,11.88,1.08,4.46,,
05-02-2015,,,12.17,11.11,0.59,7.65,,
06-02-2015,,,5.04,11.71,0.5,3.12,,
07-02-2015,,,10.59,12.88,1.45,5.51,,
08-02-2015,,,7.18,8.84,0.45,7.25,,
09-02-2015,,,3.78,13.61,0.64,3.37,,
10-02-2015,,,4.97,13.04,0.77,1.04,,
11-02-2015,,,10.52,12.44,0.57,1.64,,
12-02-2015,,,10.1,26.22,0.96,12.98,,
13-02-2015,,,16.74,19.31,1.32,7.56,,
14-02-2015,,,11.29,17.14,0.9,5.18,,
15-02-2015,,,4.71,11.14,0.76,4.82,,
16-02-2015,,,10.65,10.67,2.35,3.84,,
17-02-2015,,,15.95,4.66,0.83,13.39,,
18-02-2015,,,17.48,6.34,3.23,17.62,,
19-02-2015,,,14.46,19.81,2.18,11.15,,
20-02-2015,,,10,31.1,6.95,12.52,,
21-02-2015,,,4.77,12.5,8.98,14.25,,
22-02-2015,,,8.27,13.56,6.28,13.11,,
23-02-2015,,,7.39,15.44,13.56,11.93,,
24-02-2015,,,13.49,17.21,4.78,5.76,,
25-02-2015,,,13.88,21.85,1.49,6.5,,
26-02-2015,,,9.7,17.22,1.24,7.13,,
27-02-2015,,,6.52,20.09,1.14,4,,
28-02-2015,,,2.94,17.43,1.38,2.82,,
01-03-2015,,,2.52,15.23,0.48,6.93,,
02-03-2015,,,4.23,33.23,3.56,6.72,,
03-03-2015,,,7.81,30.4,14.67,8.6,,
04-03-2015,,,4.75,12.44,3.39,5.99,,
05-03-2015,,,11.53,6.9,29.33,8.79,,
06-03-2015,,,5.94,6.3,23.53,16.03,,
07-03-2015,,,7.08,6.46,25.7,12.69,,
08-03-2015,,,5.24,11.83,16.01,11.89,,
09-03-2015,,,6.85,23.32,25.5,11.47,,
10-03-2015,,,4.95,21.54,1.08,3.17,,
11-03-2015,,,8.59,30.29,1.33,2.86,,
12-03-2015,,,5.47,23.55,1.9,1.67,,
13-03-2015,,,8.1,13.57,13.01,7.84,,
14-03-2015,,,12.44,1.12,18.28,19.64,,
15-03-2015,,,9.08,3.79,29.93,16.57,,
16-03-2015,,,12.37,4.81,25.25,30.13,,
17-03-2015,,,13.81,21.65,17.79,11.89,,
18-03-2015,,,35.23,20.82,6.17,3.76,,
19-03-2015,,,17.05,29.11,15.98,47.19,,
20-03-2015,30.65,,3.36,27.2,4.55,2.76,,
21-03-2015,48.59,,3.47,28.02,3.89,1.94,Satisfactory,91
22-03-2015,47.38,,2.84,23.19,11.29,2.05,Moderate,120
23-03-2015,65.65,,3.1,27.76,9.95,6.3,Moderate,154
24-03-2015,60.47,,5.39,35.1,1.46,6.07,Moderate,119
25-03-2015,62.56,,3.16,27.13,10.05,4.98,Poor,232
26-03-2015,60.73,,4.16,34.71,1.44,1.67,Moderate,132
27-03-2015,42.1,,4.01,30.96,2.85,2.46,Moderate,123
28-03-2015,40,,2.93,28.74,8.07,2.5,Moderate,152
29-03-2015,32.16,,2.38,21.5,8.53,2.08,Moderate,143
30-03-2015,30.78,,2.68,26.96,1.46,2.63,Satisfactory,80
31-03-2015,38.99,,2.6,27.52,1.79,2.79,Satisfactory,90
01-04-2015,36.42,,2.68,31.37,9.6,3.17,Moderate,151
02-04-2015,38.15,,4.24,43.09,4.06,7.65,Moderate,123
03-04-2015,35.11,,2.63,26.04,5.34,2.32,Moderate,178
04-04-2015,36.68,,3.63,40.71,1.47,3.29,Moderate,101
05-04-2015,36.92,,2.2,26.22,9.58,4.07,Moderate,160
06-04-2015,31.78,,2.48,22.34,0.55,7.22,Satisfactory,71
07-04-2015,37.25,,2.86,17.78,2.3,5.88,Satisfactory,76
08-04-2015,29.8,,2.59,24.2,6.84,1.84,Moderate,153
