,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI
310,31.44,70.46,3.03,15.85,214.0,27.73,1.22,1.94,17.98,2.41,17.84,60.0
313,12.63,43.64,1.46,6.81,50.0,12.63,1.48,2.05,41.66,1.12,2.07,51.0
316,28.22,153.3,5.8,21.5,660.0,27.79,2.09,2.69,34.32,2.08,4.5,61.0
317,42.42,156.84,7.25,29.94,1040.0,21.94,1.56,2.23,31.35,1.82,4.65,130.0
322,21.99,39.86,7.08,16.44,563.0,41.96,1.73,2.95,9.98,1.52,2.38,103.0
323,13.89,31.44,6.84,12.14,398.0,23.93,1.72,2.5,4.56,0.74,1.48,74.0
326,19.66,36.84,6.47,16.37,619.0,24.04,1.35,2.83,4.09,1.18,2.17,75.0
327,20.35,33.97,7.76,20.64,777.0,26.98,1.36,2.59,7.77,1.02,1.9,85.0
328,34.39,36.29,8.38,28.8,1057.0,32.75,2.48,3.76,14.63,1.32,3.17,141.0
329,43.91,43.65,11.74,29.33,1077.0,55.4,1.52,3.44,14.8,1.53,3.59,90.0
330,44.14,112.78,7.05,26.64,876.0,32.33,2.18,4.3,25.57,1.69,3.36,126.0
331,44.94,114.34,8.47,28.1,959.0,32.75,2.3,4.7,29.1,1.56,2.38,147.0
332,29.35,75.79,5.72,21.21,642.0,19.08,1.55,4.55,29.03,1.01,1.15,87.0
333,15.34,53.7,8.46,22.22,768.0,21.4,1.13,4.45,8.84,1.11,2.53,56.0
334,14.18,55.71,12.9,25.86,876.0,21.81,1.63,5.14,9.89,0.97,2.15,88.0
335,13.36,33.82,8.24,24.04,491.0,22.0,1.7,11.07,8.15,0.73,1.66,67.0
336,19.86,72.72,11.73,33.56,868.0,37.08,1.47,8.32,9.51,0.98,2.6,74.0
337,28.35,102.15,13.06,32.95,779.0,52.45,2.03,6.08,21.38,1.0,3.46,105.0
338,25.04,89.26,9.79,33.02,701.0,51.77,1.72,5.43,26.44,0.77,1.47,103.0
340,41.16,85.25,10.04,34.42,738.0,46.07,1.88,5.24,27.26,0.88,1.7,65.0
341,46.33,82.86,17.24,44.41,1125.0,45.43,1.81,5.81,19.1,1.01,1.92,102.0
342,48.01,78.58,16.65,39.78,1031.0,46.15,1.84,4.86,6.32,1.16,1.49,94.0
343,35.48,58.04,25.04,35.58,1158.0,51.46,1.92,5.27,3.36,0.99,1.46,86.0
344,32.95,79.07,23.41,41.05,1174.0,26.38,2.07,5.94,2.3,1.43,1.63,89.0
345,50.19,73.43,18.73,57.62,1022.0,20.93,1.78,5.34,2.33,1.29,1.39,99.0
346,34.57,64.09,15.68,42.88,1190.0,12.64,1.68,4.79,2.16,0.91,1.07,92.0
347,52.06,56.71,13.51,27.66,644.0,11.98,1.33,4.38,1.87,1.29,1.6,85.0
348,39.67,100.76,5.93,22.28,340.0,14.1,1.44,2.72,1.83,1.18,1.46,83.0
349,50.47,56.41,4.71,37.1,617.0,20.54,1.93,3.65,6.68,1.22,1.47,92.0
350,41.04,62.41,10.15,40.72,843.0,22.39,1.55,5.21,17.03,0.97,1.28,95.0
351,56.62,85.88,24.29,57.36,1277.0,29.2,2.67,6.99,17.28,1.61,1.55,103.0
352,42.57,78.99,20.49,49.4,1215.0,21.95,2.08,5.34,17.37,1.43,1.29,105.0
353,60.44,65.74,17.24,43.97,1105.0,26.04,1.44,5.29,20.05,1.17,1.19,97.0
354,48.4,72.52,18.51,53.53,1223.0,30.54,1.18,5.5,21.95,1.33,1.35,102.0
355,49.54,84.48,22.95,65.66,1303.0,34.27,1.32,5.61,20.0,1.96,1.69,104.0
356,49.42,74.68,20.35,55.38,1253.0,36.34,1.62,5.47,24.06,1.58,1.24,96.0
357,61.58,81.49,20.86,56.16,1254.0,44.44,1.29,5.38,36.04,1.41,1.22,114.0
358,68.48,81.97,17.96,51.22,1189.0,24.77,1.25,5.66,40.78,1.12,2.26,110.0
359,57.15,63.84,15.88,42.79,1031.0,18.88,1.2,5.44,41.39,1.12,1.16,109.0
360,76.35,76.37,16.45,42.69,1031.0,14.76,1.54,5.71,59.62,1.15,0.94,115.0
361,85.66,83.91,22.68,56.3,1255.0,41.98,1.77,6.01,59.5,1.21,1.05,149.0
362,49.06,73.13,20.76,54.12,1236.0,24.83,1.58,6.39,31.55,1.43,1.12,122.0
363,48.16,74.0,22.45,59.75,1267.0,21.42,0.85,6.94,31.0,1.59,1.44,91.0
364,71.06,74.39,20.87,61.97,1271.0,26.49,1.49,7.22,36.94,1.53,1.18,131.0
365,56.4,95.08,13.8,51.73,1124.0,14.68,0.69,7.44,55.96,0.91,0.78,101.0
366,53.69,93.92,26.49,73.09,1333.0,16.05,0.76,8.67,34.06,1.88,1.18,92.0
367,62.35,99.34,24.56,77.77,1336.0,16.37,0.96,9.1,47.62,2.36,1.14,108.0
368,64.96,104.62,18.56,77.07,1314.0,14.18,0.89,8.87,50.62,1.95,1.33,109.0
369,70.15,105.12,23.56,79.43,1338.0,16.97,0.85,9.41,36.94,1.92,1.26,114.0
370,68.22,91.74,29.68,68.5,1335.0,16.71,0.93,14.23,45.98,1.25,1.11,121.0
371,68.74,74.3,42.37,53.25,1345.0,26.13,0.79,23.65,23.19,27.62,16.12,116.0
372,67.9,62.77,46.57,51.09,1347.0,22.84,0.66,14.17,8.59,1.01,0.5,117.0
373,79.8,74.11,57.18,64.04,1366.0,21.32,0.79,14.65,10.66,2.62,0.55,143.0
374,76.18,63.19,38.5,46.46,1324.0,11.01,0.8,15.02,14.39,2.29,0.55,168.0
375,61.48,53.24,23.76,39.43,1352.0,10.72,0.78,11.53,19.51,1.67,1.35,122.0
377,70.78,160.0,11.43,55.91,1195.0,12.06,1.02,10.59,24.48,1.56,0.94,146.0
378,75.01,172.02,16.92,70.58,1304.0,19.63,0.84,13.99,22.94,1.56,0.5,152.0
380,77.23,235.32,35.73,83.2,1368.0,16.11,1.02,15.22,22.72,1.36,0.69,130.0
381,68.98,149.82,86.51,110.24,1371.0,10.83,0.78,14.5,17.73,0.97,0.37,253.0
